"conference_acronym","conference_name","conference_location"
"2103","AMLD 2019","Applied Machine Learning Days","EPFL, Lausanne, Switzerland"
"3103","DMDB  2019","6th International Conference on Data Mining and Database ","Vancouver, Canada"
"414","MEIJ 2018","Mechanical Engineering: An International Journal ","N/A"
"514","MLNLP-EI/Scopus 2018","2018 International Conference on Machine Learning and Natural Language Processing (MLNLP 2018)","Sanya, China"
"614","FinancialNews&Data-IEEEBigData2018","The 2nd International Workshop on Big Data for Financial News and Data","Seattle, WA, USA"
"714","2W2T-EI/Scopus/CPCI 2019","2019 International Conference on Advances in Water and Wastewater Treatment Technologies (2W2T 2019)","Shenzhen, China"
"814","ACMLC--Scopus 2018","2018 2nd Asia Conference on Machine Learning and Computing (ACMLC 2018)--Scopus","Ho Chi Minh, Vietnam"
"914","AutoML 2018","The Second International Workshop on Automation in Machine Learning and Big Data","Seattle, WA, USA"
"1014","AISC  2018","6th International Conference on Artificial Intelligence, Soft Computing ","Dubai,UAE"
"1114","IRASL 2018","Interpretability and Robustness in Audio, Speech, and Language (NIPS 2018 Workshop)","Palais des Congrès de Montréal, Canada"
"1214","BDMIOM 2018","The 1st International Workshop on Big Data for Marketing Intellegence and Operation Management","Seattle, WA"
"1314","FEAP-AI4Fin 2018","NIPS 2018 Worksop on Challenges and Opportunities for AI in Financial Services: the Impact of Fairness, Explainability, Accuracy, and Privacy","Montreal, Canada"
"1414","IWSDS 2019","International Workshop on Spoken Dialogue Systems Technology - Call for Workshops and Special Sessions","Siracusa, Italy"
"1514","ICACCP 2019","Second International Conference on Advanced Computational and Communication Paradigms  (ICACCP-2019) ","Gangtok, Sikkim, India"
"1613","IJPLA 2018","International Journal of Programming Languages and Applications","N/A"
"1713","JoL 2018","International Journal of Law ","N/A"
"1813","MLAIJ 2018","Machine Learning and Applications: An International Journal ","N/A"
"1913","AIR 2018","The 3rd International Conference on Artificial Intelligence and Robots (AIR 2018)","Sanya, China"
"2013","ICASSP 2019","Special Session on LEARNING METHODS IN COMPLEX AND HYPERCOMPLEX DOMAINS","Brighton, UK"
"2113","WSAI--Ei Compendex and Scopus 2019","2019 World Symposium on Artificial Intelligence (WSAI 2019)--Ei Compendex and Scopus","Xi'an, China"
"2213","ICxS 2019","4th Special Session on Intelligent and Contextual Systems (1000 USD grant)","Yogyakarta, Indonesia"
"2313","SEAHF 2019","International Conference on Smart Innovation, Ergonomics and Applied Human Factors","Madrid, Spain"
"2413","MIND 2019","1st International Conference on Machine Learning, Image Processing, Networks and Data Sciences","Kurukshetra, India"
"2513","ISBDAI 2018","2018 International Symposium on Big Data and Artificial Intelligence","Hong Kong"
"2613","QCAV  2019","Quality Control By Artificial Vision","Mulhouse, FRANCE"
"2713","EuroGP 2019","THE 22nd EUROPEAN CONFERENCE ON GENETIC PROGRAMMING","Leipzig"
"2813","SI-TNNLS-SMLMATA 2018","TNNLS Special Issue on Structured Multi-output Learning: Modelling, Algorithm, Theory and Applications","N/A"
"2913","ICIAI--ACM, Ei Compendex and Scopus 2019","ACM--2019 The 3rd International Conference on Innovation in Artificial Intelligence (ICIAI 2019)--Ei Compendex and Scopus","Suzhou, China"
"3013","AAAI-MAKE 2019","AAAI 2019 Spring Symposium on Combining Machine Learning with Knowledge Engineering","Stanford University, Palo Alto, CA, USA"
"3113","ICETI 2018","2018 3rd International Conference on Engineering and Technology Innovations","Hong Kong"
"3213","IMCS 2018","Information Management and Computer Science","N/A"
"3313","Scopus-PRIS 2019","2019 International Conference on Pattern Recognition and Intelligent Systems (PRIS 2019)","Shanghai,China"
"3413","CiDaS 2019","CiDaS 2019, Contemporary Issues in Data Science, The International Conference on","Zanjan, Iran"
"3513","ACM--ICMVA--Ei, Scopus 2019","ACM--2019 The 2nd International Conference on Machine Vision and Applications (ICMVA 2019)--Ei Compendex, Scopus","Tokyo,  Japan"
"3613","WristSense 2019","The 5th WristSense Workshop on Sensing Systems and Applications Using Wrist Worn Smart Devices.","Kyoto, Japan"
"3713","ICMLC--ACM, Ei and Scopus 2019","2019 11th International Conference on Machine Learning and Computing (ICMLC 2019)--ACM, Ei Compendex and Scopus","Zhuhai, China"
"3812","CLIN 2019","Computational Linguistics in the Netherlands","Groningen, The Netherlands"
"3912","ASPAI 2019","First International Conference on Advances in Signal Processing and Artificial Intelligence (ASPAI' 2019)","Barcelona"
"403","ICMLSC--Ei Compendex and Scopus 2019","2019 3rd International Conference on Machine Learning and Soft Computing (ICMLSC 2019)--Ei Compendex and Scopus","Da Lat, Vietnam"
"415","AKBC 2019","1st Conference on Automated Knowledge Base Construction (AKBC)","Amherst, MA"
"423","CBR@FLAIRS 2019","CBR@FLAIRS 2019 : FLAIRS-32 Special Track on Case-Based Reasoning","Sarasota, FL"
"433","ICCIDS 2019","International Conference on Computational Intelligence in Data Science","Chennai"
"443","AIHealth@FLAIRS 2019","AI in Healthcare Informatics Special Track at FLAIRS","Sarasota, FL"
"453","ICRIS--Ei and Scopus 2019","2019 The 2nd International Conference on Robotics and Intelligent System (ICRIS 2019)--Ei Compendex and Scopus","Warsaw, Poland"
"463","EI-IC4M 2019","2019 4th International Conference on Mechanical, Manufacturing, Modeling and Mechatronics (IC4M 2019)","Nice, France"
"473","Advances in HPC for AI 2019","Elsevier JPDC - Special Issue on Advances on Parallel and High Performance Computing for AI Applications","N/A"
"483","IWSDS 2019","International Workshop on Spoken Dialogue Systems Technology","Siracusa, Italy"
"493","STSIVA 2019","The XXII Symposium on Image, Signal Processing and Artificial Vision (STSIVA 2019)","Bucaramanga, Colombia"
"503","RVSS 2019","Robotic Vision Summer School","Kioloa, Australia"
"515","ICCMIT 2019","Special Session on Advances in Data Science Theory and Interdisciplinary Applications - 5th International Conference on Communication, Management and Information Technology","Vienna, Austria"
"523","CORES 2019","11th International Conference on Computer Recognition Systems CORES 2019","Polanica Zdroj, Poland"
"533","iDSC 2019","International Data Science Conference","Salzurg / Austria"
"543","CORES 2019","11th International Conference on Computer Recognition Systems CORES 2019","Polanica Zdroj, Poland"
"553","DSA 2019","The Frontiers in Intelligent Data and Signal Analysis DSA 2019","New York"
"563","MLDM 2019","15th International Conference on Machine Learning and Data Mining MLDM 2019","New York"
"573","SI-JBR 2019","Special Issue on EEG Signal Processing and Machine Learning for Epileptic Seizure Detection and Prediction","N/A"
"583","WSOM+ 2019","13th International Workshop on Self-Organizing Maps and Learning Vector Quantization, Clustering and Data Visualization","Barcelona, Spain"
"593","COMPSAC  2019","COMPSAC 2019: Data Driven Intelligence for a Smarter World","Milwaukee, Wisconsin, USA"
"603","ICML 2019","36th International Conference on Machine Learning","Long Beach, CA, USA"
"615","ICFCA 2019","The 15th International Conference on Formal Concept Analysis","Frankfurt, Germany"
"623","ICETT--EI and Scopus 2019","2019 5th International Conference on Education and Training Technologies (ICETT 2019)--EI Compendex and Scopus","Seoul, South Korea"
"633","COLT 2019","Computational Learning Theory","Phoenix, AZ, USA"
"643","DSBFI 2019","ISSAT International Conference on Data Science in Business, Finance and Industry","Da Nang, Vietnam"
"653","DSIS 2019","ISSAT International Conference on Data Science and Intelligent Systems","Las Vegas, Nevada, USA"
"663","SmartSys 2019","Smart Systems: bringing together computer vision, sensor networks and machine learning","Faro, Portugal"
"673","MDPI Information 2019","MDPI OA Journal of Information Science, Technology and Engineering --SI on Machine Learning for Cyber-Security ","N/A"
"683","MLCS-MDPI 2019","Special issue on Machine Learning for Cyber-Security (MDPI Journal of INFORMATION)","N/A"
"693","ICCV 2019","International Conference on Computer Vision","Seoul, Korea"
"703","IbPRIA 2019","8th Iberian Conference on Pattern Recognition and Image Analysis","Madrid"
"715","ICDMML 2019","<U+3010>ACM ICPS EI SCOPUS<U+3011>2019 International Conference on Data Mining and Machine Learning","Hong Kong"
"723","Randomized Neural Networks 2019","Special Issue on Advances in Randomized Neural Networks","N/A"
"733","CAIP 2019","Computer Analysis of Images and Patterns","Salerno, Italy"
"743","MLESP 2019","Special Issue on Machine Learning for EEG Signal Processing (MLESP 2018) - Computers (MDPI journal)","N/A"
"753","COMML 2020","International Conference on Optimization, Metaheuristics and Machine Learning","Xi'an"
"763","CSITS 2018","International Workshop on Cyber Security for Intelligent Transportation Systems","Barcelona, Spain"
"773","Journal Special Issue 2019","Machine Learning on Scientific Data and Information","Hong Kong"
"783","AINY 2019","The AI Conference NY 2019","New York, NY"
"793","AICCC--ACM, EI Compendex, Scopus 2018","ACM--2018 Artificial Intelligence and Cloud Computing Conference (AICCC 2018)--EI Compendex, Scopus","Tokyo, Japan"
"803","SDM 2019","SIAM International Conference on Data Mining","Hyatt Regency Calgary, Calgary, Alberta,"
"815","Scopus-EI-MSME 2018"," 2018 International Conference on Materials Science and Manufacturing Engineering (MSME 2018)","Paris, France"
"823","PAKDD 2019","Pacific-Asia Conference on Knowledge Discovery and Data Mining","Macau, China"
"833","NICDL 2018","Nature-Inspired Computation in Data Mining and Machine Learning","Call for Book Chapters"
"843","EI/Scopus-CMVIT 2019","2019 3rd International Conference on Machine Vision and Information Technology (CMVIT 2019","Guangzhou,China"
"853","IUI 2019","ACM Conference on Intelligent User Interfaces","Los Angeles, USA"
"863","MLESP 2018","The 1st International Workshop on Machine Learning for EEG Signal Processing","Madrid, Spain"
"873","AI 2018","4th International Conference on Artificial Intelligence and Applications","Dubai,UAE"
"883","iFUZZY 2018","2018 International Conference on Fuzzy Theory and Its Applications","Daegu, South Korea"
"893","MLHRM 2018","Workshop on Machine Learning Approaches in High Resolution Microscopy Imaging","Madrid, Spain"
"903","CIARP 2018","23rd Iberoamerican Congress on Pattern Recognition","Madrid, Spain"
"915","AISTATS 2019","The 22nd International Conference on  Artificial Intelligence and Statistics","Naha, Okinawa, Japan"
"923","AISTATS 2019","The 22nd International Conference on  Artificial Intelligence and Statistics","Naha, Okinawa, Japan"
"933","Com-IT-Con 2019"," International Conference on Machine Learning, Big Data, Cloud and Parallel Computing: Trends, Perspectives and Prospects","faridabad, Haryana"
"943","ICPRAM 2019","8th International Conference on Pattern Recognition Applications and Methods","Prague, Czech Republic"
"953","VISAPP 2019","14th International Conference on Computer Vision Theory and Applications","Prague, Czech Republic"
"963","CoDS-COMAD YRS 2019","CoDS-COMAD 2019 Young Researchers Symposium","Kolkata, India"
"973","MLOSS  2018","NIPS workshop on Machine Learning Open Source Software","NIPS Montreal"
"983","MLOSS 2018","Machine Learning Open Source Software 2018: Sustainable communities","Palais des Congrès de Montréal, Canada"
"993","SysML 2019","SysML Conference","Stanford, CA"
"1003","ICLR 2019","International Conference for Learning Representations","New Orleans"
"1015","ACM--SPML--EI Compendex, Scopus 2018","ACM--2018 International Conference on Signal Processing and Machine Learning (SPML 2018)--EI Compendex, Scopus","Shanghai, China"
"1023","BDML--Ei Compendex and Scopus 2018","2018 International Conference on Big Data and Machine Learning (BDML 2018)--Ei Compendex and Scopus","Nagoya, Japan"
"1033","IEEE SITIS - MIRA 2018","IEEE SITIS2018 - Workshop on Multimedia Information Retrieval and Applications","Las Palmas de Gran Canaria, Spain"
"1043","FG 2019","The 14th IEEE International Conference on Automatic Face and Gesture Recognition","Lille, France"
"1053","DIDL 2018","Second Workshop on Distributed Infrastructures for Deep Learning","Rennes, France"
"1063","CVM 2019","Computational Visual Media Conference","Bath, United Kingdom"
"1073","TAAI 2018","The 2018 Conference on Technologies and Applications of Artificial Intelligence","Taichung, Taiwan"
"1083","LXAI@NIPS 2018","Latinx in AI @ NIPS 2018","Montreal Convention Center"
"1093","WSDM Tutorials 2019","Call for Tutorials -- WSDM 2019: The 12th ACM International Conference on Web Search and Data Mining @ Melbourne, Australia, Feb. 11-15, 2019","Melbourne, Australia"
"1105","IEEE--ISCMI--EI Compendex and Scopus 2018","2018 IEEE 5th Intl. Conference on Soft Computing & Machine Intelligence (ISCMI 2018)--EI Compendex and Scopus","Nairobi, Kenya"
"1115","CIBI 2018","International Workshop on Computational Intelligence for Brain Imaging (CIBI)","Arlington, Texas, USA "
"1123","MLPMEA 2018","Special Session On Machine Learning for Predictive Models in Engineering Applications, ICMLA 2018","Orlando, Florida, USA"
"1133","DeepLearning CAD 2018","Deep Learning for Computer-Aided Diagnosis (CAD) systems- IPAS 2018- Special Session","Nice- France"
"1143","RECPAD 2018","24th Portuguese Conference on Pattern Recognition ","Coimbra"
"1153","SVSS 2018","International Workshop on the Security of Video Surveillance Systems","Auckland, New Zealand"
"1163","MIKE 2018","MIKE 2018: 6th International Conference on Mining Intelligence and Knowledge Exploration","Cluj - Napoca, Romania"
"1173","DEC-NYC 2018","DataEngConf NYC '18","Columbia University"
"1183","MLN 2018","International Conference on Machine Learning for Networking","Paris"
"1193","ICMV--SPIE, Scopus, Ei Compendex 2018","SPIE--2018 The 11th International Conference on Machine Vision (ICMV 2018)--Scopus, Ei Compendex","Munich, Germany"
"1203","LPKM 2018","International Workshop on Language Processing and Knowledge Management","Tunisia Sfax"
"1215","WSDM Demonstrations 2019","Call for Demonstrations -- WSDM 2019: The 12th ACM International Conference on Web Search and Data Mining @ Melbourne, Australia, Feb. 11-15, 2019","Melbourne, Australia"
"1223","DEDA SI  2018","Data-Enabled Discovery and Applications: Special Issue on Data Science and Interdisciplinary Research","N/A"
"1233","MLHPC 2018","The 4th Workshop on Machine Learning in HPC Environments - in conjunction with Supercomputing","Dallas, TX, USA"
"1243","CRoNe 2018","4th Congress con Robotics and Neuroscience","Valparaíso, Chile"
"1253","CIMA 2018","8th International Workshop on Combinations of Intelligent Methods and Applications","Volos, Greece"
"1263","NGDS 2018","Call for the 2018 Next Generation Data Scientist (NGDS) Award","Turin, Italy"
"1273","DIT 2018","Workshop on Data-Driven Intelligent Transportation (in Conjunction with ICDM'18)","Singapore"
"1283","ICITCS 2018","8th International Conference on IT Convergence and Security","Bangkok Thailand"
"1293","Call for Chapter Proposals 2018","Neutrosophic Sets - Theory and Applications","Science Gate Publishing"
"1303","ICAAI--ACM, Ei Compendex, Scopus 2018","ACM--2018 The 2nd International Conference on Advances in Artificial Intelligence (ICAAI 2018)--Ei Compendex, Scopus","Barcelona, Spain"
"1315","FAT* 2019","2019 Conference on Fairness, Accountability, and Transparency","Atlanta, USA"
"1323","ADMiS 2018","International Workshop on Adapting Data Mining for Security 2018","Singapore"
"1333","ACML-MoL 2018","ACML 2018 Workshop on Multi-output Learning","Beijing, China"
"1343","CCVW 2018","Seventh Croatian Computer Vision Workshop","Zagreb, Croatia"
"1353","IDAA 2018","International Workshop of Intelligent Data Analytics and Applications (Joint with JSAI International Symposia on AI)","Japan"
"1363","ICTC 2018","The 9th International Conference on Information and Communication Technology Convergence ","Jeju Island, Korea"
"1373","RiTA 2018","The 6th International Conference on Robot Intelligence Technology and Applications","Kuala Lumpur, Malaysia"
"1383","TIST Special Issue  2018","ACM TIST Special Issue on Advances in Causal Discovery and Inference","N/A"
"1393","WSDM 2019","WSDM 2019: The 12th ACM International Conference on Web Search and Data Mining","Melbourne, Australia"
"1403","ICCBB 2018","2018 International Conference on Cloud (Edge)  Computing, Big Data and Blockchain","Fuzhou"
"1415","SEUNet 2018","The THIRD WiMob 2018 Workshop on Smart Environments & Urban Networking (SEUNet 2018)","Limassol, Cyprus"
"1423","SAREC 2018","1st Workshop on Scalable and Applicable Recommendation Systems","Singapore"
"1433","DELL@ICDM 2018","[CFP] IEEE ICDM 2018 Workshop on Developmental Learning (DELL 2018)","Singapore"
"1443","WDKE 2018","Second Workshop on Data and Knowledge Engineering","Iquique, Chile"
"1453","MLMI--Ei Compendex, Scopus 2018","ACM--2018 International Conference on Machine Learning and Machine Intelligence (MLMI 2018)--Ei Compendex, Scopus","Hanoi, Vietnam"
"1463","CEMi  2018","CEMi 18 - International Workshop on Computing, Electromagnetics, and Machine Intelligence","Stellenbosch, South Africa"
"1473","SIR 2018","CIKM 2018 Workshop on Social Interaction-based Recommendation","Turin (Italy)"
"1483","ACML 2018","The 10th Asian Conference on Machine Learning","Beijing, China"
"1493","BDCC 2018","EAI International Conference on Big Data Innovation for Sustainable Cognitive Computing","Coimbatore, India"
"1503","Creative Technologies 2018","Machine Learning and Nature Inspired Computing based Innovative Applications","N/A"
"1515","IWAISe 2018","2nd International Workshop on A.I. in Security","Dublin"
"1522","INTESA 2018","INTelligent Embedded Systems Architectures and Applications (EXTENDED)","Turin, Italy"
"1532","(HCI-DS) 2018","Workshop on the Interplay between Human-Computer Interactionand Data Science ","Madrid - Spain"
"1542","INTETAIN 2018","First Call for Papers Intetain 2018 is Open for Submissions! Part of SmartCity360° 2018 | Guimarães, Portugal","Guimarães"
"1552","PIRM 2018","ECCV 2018- Perceptual Image Restoration and Manipulation workshop and challenges on image super-resolution, mobile photo enhancement and spectral reconstruction","Munich, Germany"
"1562","WITCOM  2018","The 7th International Congress of   Telematics & Computing","Mazatlan, Sinaloa, México"
"1572","REVEAL 2018","RecSys Workshop on Offline Evaluation for Recommender Systems","Vancouver, CA"
"1582","IAL@ECMLPKDD 2018","Interactive Adaptive Learning","Dublin, Ireland"
"1592","KDAH-CIKM 2018","KNOWLEDGE-DRIVEN ANALYTICS IMPACTING HUMAN QUALITY OF LIFE-CIKM","Turin, Italy"
"1602","FATREC 2018","The 2nd FATREC Workshop on Responsible Recommendation","Vancouver, Canada"
"1614","AusDM2018-Call For Tutorials 2018","Australasian Data Mining Conference (AusDM) 2018 - Call For Tutorials","Bathurst, NSW, Australia"
"1622","Special Issue 2018","Journal Special Issue: Sensors (SCI and EI)","China"
"1632","DMD 2018","Shared task on Detecting Malicious Domain names (DMD 2018)","Bangalore"
"1642","DLRS 2018","3rd Workshop on Deep Learning for Recommender Systems","Vancouver"
"1652","recsysktl 2018","The 2nd Workshop on Intelligent Recommender Systems by Knowledge Transfer & Learning","Vancouver, Canada"
"1662","DARE 2018","ECMLPKDD 2018, 6th International Workshop on Data Analytics for Renewable Energy Integration","Dublin, Ireland"
"1672","IDEAL  2018","19th International Conference on Intelligent Data Engineering and Automated Learning","Madrid"
"1682","Punecon 2018","IEEE PuneCon 2018","Pune"
"1692","LIDTA 2018","2nd International Workshop on Learning with Imbalanced Domains - Theory and Applications (@ECML/PKDD 2018)","Dublin, Ireland"
"1702","DSHCM  2018","The 2nd International Workshop on Data Science for Human Capital Management (colocated with ECML-PKDD'18)","Dublin, Ireland"
"1714","HPML 2018","High Performance Machine Learning","Lyon - France"
"1722","GCPR 2018","German Conference on Pattern Recognition","Stuttgart, Germany"
"1732","CVRSUAD 2018","Workshop for Road Scene Understanding and Autonomous Driving at ECCV 2018","Munich, Germany"
"1742","WiCV @ ECCV 2018","5th Women in Computer Vision Workshop at ECCV 2018","Munich"
"1752","NEMESIS 2018","1st Workshop on Recent Advances in Adversarial Machine Learning - ECML/PKDD","Dublin, Ireland"
"1762","Green Data Mining 2018","1st International Workshop on Energy Efficient Data Mining and Knowledge Discovery","Dublin, Ireland"
"1772","MIDAS 2018","MIDAS @ECML-PKDD 2018 - 3rd Workshop on MIning DAta for financial applicationS","Dublin, Ireland"
"1782","MLSA 2018","Machine Learning and Data Mining for Sports Analytics (Workshop @ ECML/PKDD 2018)","Dublin, Ireland"
"1792","ACISCMI 2018","Advanced Computational Intelligence and Soft Computing in Medical Imaging (Journal of Medical Systems, IF: 2.456)","N/A"
"1802","ICIC 2018","1st International Conference on Intelligent Computing","Amrita School of Engineering Bengaluru"
"1814","Big Data 2018","The 6th International Workshop on Big Data","China"
"1822","AI-learning 2018","The First International Workshop on AI & Deep Learning","China"
"1832","EUVIP 2018","7th European Workshop on Visual Information Processing","Tampere, Finland"
"1842","DS 2018","21st International Conference on Discovery Science","St. Raphael Resort, Limassol, Cyprus"
"1852","MASES 2018","1st International Workshop on Machine Learning and Software Engineering in Symbiosis","Montpellier, France"
"1862","SPIE--ICRMV--Scopus, Ei and CPCI 2018","SPIE--2018 3rd International Conference on Robotics and Machine Vision (ICRMV 2018)--Scopus, Ei Compendex and CPCI","Chengdu, China"
"1872","Kaleidoscope 2018","ITU Kaleidoscope 2018 - Machine learning for a 5G future","Santa Fe, Argentina"
"1882","CogniNets 2018","IEEE Workshop on Cognitive Networks","Chicago, USA"
"1892","IEEE ICBK 2018","The 9th IEEE International Conference on Big Knowledge","Singapore"
"1902","ICCIDE 2018","International Conference on Computational Intelligence and Data Engineering","GUNTUR"
"1914","GRAIL 2018","2nd International Graphs in Biomedical Image Analysis Workshop [DEADLINE EXTENDED]","Granada, Spain"
"1922","GLOBECOM MLComm 2018","IEEE Globecom’18 Workshop on Machine Learning for Communications","Abu Dhabi, UAE"
"1932","IWTDS 2018","International Workshop on Text Data Science","yichang, china"
"1942","ROMAN_CVML 2018","IEEE ROMAN Computer Vision and machine learning","Nanjing"
"1952","CoRL 2018","Conference on Robot Learning","Zürich, Switzerland"
"1962","KAM 2018","24th Conference on Knowledge Acquisition and Management (KAM’18)","Poznan, Poland"
"1972","LABELS 2018","Large-scale Annotation of Biomedical data and Expert Label Synthesis","Granada, Spain"
"1982","InWebTech  2018","Special Session on Innovations in Web Technologies","Wroclaw, Poland"
"1992","IWAIPR 2018","6th Internacional Workshop on Artificial Intelligence and Pattern Recognition","La Havana, Cuba"
"2002","GlobalSIP 2018","2018 6th IEEE Global Conference on Signal and Information Processing","Anaheim, California, USA"
"2014","KDML 2018","Workshop on Knowledge Discovery, Data Mining and Machine Learning","Mannheim"
"2022","GCCE-OS-DSC 2018","IEEE GCCE 2018 Organized Session on Data Science and Its Application to Consumer Technology","Nara, Japan"
"2032","SNMAM 2018","Track on Social Network and Media Analysis and Mining - SIMBig 2018","Lima, Peru"
"2042","PRAI--ACM, Ei and Scopus 2018","ACM--2018 the International Conference on Pattern Recognition and Artificial Intelligence (PRAI 2018)--Ei Compendex and Scopus","Union, NJ, USA"
"2052","ICDM 2018","IEEE International Conference on Data Mining","Singapore"
"2062","GRCon 2018","GNU Radio Conference 2018","Henderson, NV, US"
"2072","AINL 2018","Artificial Intelligence and Natural Language","Saint Petersburg, Russia"
"2082","AI4BPM 2018","Artificial Intelligence for Business Process Management Workshop (AI4BPM 2018)","Sydney"
"2092","IFIP IIP 2018","10th International Conference on Intelligent Information Processing","Nanning"
"2104","ICMI EAT  2018","ICMI Audio/Visual Eating Analysis & Tracking Challenge","Boulder, CO, USA"
"2114","MLMH 2018","2018 KDD workshop on Machine Learning for Medicine and Healthcare","London"
"2122","VS3 2018","VS3 2018: Vision and Sports Summer School 2018","Prague, Czech Republic"
"2132","DSDAH -  2018","1ST WORKSHOP ON DATA SCIENCE FOR DIGITAL ART HISTORY - TACKLING BIG DATA ","London, UK"
"2142","CredISData@DSAA 2018","CFP: SPECIAL SESSION on Sentiment, Emotion, and Credibility of Information in Social Data @DSAA-2018 ","Turin (Italy)"
"2152","LLARLA 2018","2nd Workshop on Lifelong Learning: A Reinforcement Learning Approach @ICML/IJCAI 2018.","Stockholm, Sweden"
"2162","CausalML 2018","ICML / IJCAI / AAMAS Workshop on Machine Learning for Causal Inference, Counterfactual Prediction, and Autonomous Action","Stockholm"
"2172","WISDOM 2018","7th KDD Workshop on Issues of Sentiment Discovery and Opinion Mining ","London, UK"
"2182","IBERAMIA  2018","16th Ibero-American Conference on Artificial Intelligence","Trujillo, Peru"
"2192","IBERAMIA  2018","16th Ibero-American Conference on Artificial Intelligence","Trujillo, Peru"
"2202","IEEE CA2V 2018","2nd International Workshop on Connected, Automated and Autonomous Vehicles","Madrid, Spain"
"2214","ICCIA--Ei and Scopus 2018","2018 the 3rd IEEE International Conference on Computational Intelligence and Applications (ICCIA 2018)--Ei Compendex and Scopus","Hong Kong"
"2222","BRACIS  2018","7th Brazilian Conference on Intelligent Systems","São Paulo, SP, BRAZIL"
"2232","BOOM 2018","3rd IJCAI International Workshop on Biomedical infOrmatics with Optimization and Machine learning (BOOM)","Stockholm, Sweden"
"2242","ML4PL 2018","The 2nd International Workshop on Machine Learning Techniques for Programming Languages  ","Amsterdam, Netherlands"
"2252","CD 2018","The 2018 ACM SIGKDD Workshop on Causal Discovery ","London"
"2262","MLG 2018","14th International Workshop on Mining and Learning with Graphs","London, UK"
"2272","ICDLT--Ei Compendex and Scopus 2018","2018 2nd International Conference on Deep Learning Technologies (ICDLT 2018)--Ei Compendex and Scopus","Chongqing, China"
"2282","DADE 2018","Deployment Areas of Dynamic Environments","Greece, Thessaloniki"
"2292","IEEE LA-CCI 2018","IEEE Latin American Conference on Computational Intelligence 2018","Guadalajara, Mexico"
"2302","SIMBig 2018","5th Annual International Symposium on Information Management and Big Data","Lima, Peru"
"2314","ALA 2018","Adaptive and Learning Agents Workshop @ Federated AI Meeting 2018","Stockholm"
"2322","QML 2018","KDD Workshop on Quantum Machine Learning","London"
"2332","IDEA 2018","KDD Workshop on Interactive Data Exploration and Analytics (KDD-IDEA) 2018","London, UK"
"2342","KI 2018","The 41st German Conference on Artificial Intelligence","Berlin, Germany"
"2352","BOCIA-CI-SI 2018","Special Issue on Benchmarking of Computational Intelligence Algorithms in Computational Intelligence","N/A"
"2362","SPECOM 2018","20th International Conference on Speech and Computer","Leipzig, Germany"
"2372","Big Data in Speech Computation 2018","Special Session Big Data in Speech Computation","Leipzig, Germany"
"2382","ICANN 2018","27th International Conference on Artificial Neural Networks ","island of Rhodes Greece"
"2392","S+SSPR 2018","IAPR Joint International Workshops on Statistical Techniques in Pattern Recognition (SPR 2018) and Structural and Syntactic Pattern Recognition (SSPR 2018)","Fragrance Hill, Beijing"
"2402","ATBD 2018","Applications and Technologies in Big Data ","Niagara Falls, Ontario, Canada"
"2414","IEEE IoT J - SI on AI IoT 2018","IEEE IoT Journal - Special Issue on AI-Enabled Cognitive Communications and Networking for IoT","N/A"
"2422","DeepGlobe 2018","A Challenge for Parsing the Earth through Satellite Images - CVPR18 Workshop","Salt Lake City, Utah"
"2432","ICSM 2018","International Conference on Smart Multimedia","Toulon, Cote D’Azur, France"
"2442","BMVC 2018","British Machine Vision Conference","Newcastle, UK"
"2452","UKCI 2018"," The 18th Annual UK Workshop on Computational Intelligence","Nottingham, UK"
"2461","CD-MAKE 2018","IFIP Cross Domain Conference for Machine Learning and Knowledge Extraction","Hamburg"
"2471","CLIC 2018","CVPR 2018- Workshop and Challenge on Learned Image Compression ","Salt Lake City, Utah"
"2482","ARIAL@IJCAI 2018","2nd Workshop on AI for Aging, Rehabilitation and Independent Assisted Living","Stockholm, Sweden"
"2492","EI--ICIST--SCOPUS 2018","2018 International Conference on Intelligent Science and Technology (ICIST 2018)--EI & SCOPUS","London, United Kingdom"
"2502","DISA 2018","World Symposium on Digital Intelligence for Systems and Machines","Kosice"
"2514","IEEE CIBCB Late-Breaking Abstracts 2018","IEEE Conference on Computational Intelligence in Bioinformatics and Computational Biology - Late-Breaking Abstracts","St. Louis, MO, USA"
"2522","MLHC 2018","Machine Learning for Healthcare 2018","Stanford University, Stanford, CA"
"2532","MASC-SLL 2018","2018 Mid-Atlantic Student Colloquium on Speech, Language and Learning","UMBC, Baltimore, MD"
"2542","The AI Conf 2018","The Artificial Intelligence Conference London","London"
"2552","AI-science 2018","The 1st Autonomous Infrastructure for Science workshop","Tempe, AZ, USA"
"2562","IEEE ICTS4eHealth 2018","IEEE Workshop on ICT Solutions for eHealth","Natal, Brazil"
"2572","PACMA 2018","Physiological and Affective Computing: Methods and Applications","Melbourne, Australia"
"2582","MLCS 2018","First workshop on Machine Learning for Computing Systems","Tempe, AZ, USA"
"2592","Springer Special Issue 2018","Special Issue on Soft computing Techniques and Applications  for Intelligent Multimedia Systems","N/A"
"2602","LA@IV 2018","Symposium on Learning Analytics, at the I.V. Conference, 2018","Salerno, Italy"
"2614","ECML-PKDD 2018","European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases","Dublin, Ireland"
"2622","BDAA 2018","The 5th International Symposium on Big Data Principles, Architectures & Applications (BDAA 2018)","Orléans, France"
