"conference_acronym","conference_name","conference_location"
"122","ICICA--Ei, Scopus 2019","2019 The 8th International Conference on Intelligent Computing and Applications (ICICA 2019)--Ei Compendex, Scopus","Melbourne, Australia"
"123","CPAIOR 2019","Sixteenth International Conference on the Integration of Constraint Programming, Artificial Intelligence, and Operations Research","Thessaloniki, Greece"
"124","ICoIAS--IEEE, Ei Compendex and Scopus 2019","2019 2nd International Conference on Intelligent Autonomous Systems (ICoIAS 2019)--IEEE Xplore, Ei Compendex and Scopus","Singapore"
"125","ICUIA 2019","International Conference on Urban Intelligence and Applications","Wuhan, China"
"126","ACM--ICCAI--Ei Compendex, Scopus 2019","ACM--2019 5th International Conference on Computing and Artificial Intelligence (ICCAI 2019)--Ei Compendex, Scopus","Bali, Indonesia"
"127","Ei/Scopus-CSMO 2019","2019 3rd International Conference on Simulation, Modeling and Optimization (CSMO 2019)","Beijing, China"
"128","Advances in HPC for AI 2019","Elsevier JPDC - Special Issue on Advances on Parallel and High Performance Computing for AI Applications","N/A"
"129","<U+0418><U+0434><U+0435><U+043D><U+0442><U+0438><U+0444><U+0438><U+043A><U+0430><U+0446><U+0438><U+044F> 2019","<U+0421><U+0435><U+043A><U+0446><U+0438><U+044F> «<U+0418><U+0414><U+0415><U+041D><U+0422><U+0418><U+0424><U+0418><U+041A><U+0410><U+0426><U+0418><U+042F> <U+0421><U+0418><U+0421><U+0422><U+0415><U+041C>» <U+0432> <U+0440><U+0430><U+043C><U+043A><U+0430><U+0445> XIII <U+0412><U+0441><U+0435><U+0440><U+043E><U+0441><U+0441><U+0438><U+0439><U+0441><U+043A><U+043E><U+0433><U+043E> <U+0441><U+043E><U+0432><U+0435><U+0449><U+0430><U+043D><U+0438><U+044F> <U+043F><U+043E> <U+043F><U+0440><U+043E><U+0431><U+043B><U+0435><U+043C><U+0430><U+043C> <U+0443><U+043F><U+0440><U+0430><U+0432><U+043B><U+0435><U+043D><U+0438><U+044F>","<U+041C><U+043E><U+0441><U+043A><U+0432><U+0430>, <U+0420><U+043E><U+0441><U+0441><U+0438><U+044F>"
"130","COINS 2019"," International Conference on Omni-Layer Intelligent Systems","Crete, Greece"
"131","ICECC--EI Compendex and Scopus 2019","2019 2nd International Conference on Electronics, Communications and Control Engineering (ICECC 2019)--EI Compendex and Scopus","Phuket, Thailand"
"132","ICMAI--EI and Scopus 2019","2019 4th International Conference on Mathematics and Artificial Intelligence (ICMAI 2019)--EI Compendex and Scopus","Chengdu, China"
"133","ICFIT--EI, Scopus 2019","2019 8th International Conference on Frontiers of Information Technology (ICFIT 2019)--EI Compendex, Scopus","Nice, France"
"134","ICCRE--IEEE, EI and Scopus 2019","IEEE--2019 4th International Conference on Control and Robotics Engineering (ICCRE 2019)--EI Compendex and Scopus","Nanjing, China"
"135","VIPERC 2019","Visual Pattern Extraction and Recognition for Cultural Heritage Understanding Workshop","Pisa, Italy"
"136","[Book chapters] AI&Big Data 2018","Artificial Intelligence and Big Data’s Potential for Disruptive Innovation ","N/A"
"137","IWWSD  2019","1st International Workshop on Web Search and Data Mining ","Leuven, Belgium"
"138","ICCS 2019","24th International Conference on Conceptual Structures - Graphs in Human and Machine Cognition","Marburg"
"139","CogSIMA 2019","IEEE Conference on Cognitive and Computational Aspects of Situation Management ","Luxor Hotel, Las Vegas, NV, USA"
"140","ICISE--Ei Compendex and Scopus 2019","2019 4th International Conference on Information Systems Engineering (ICISE 2019)--Ei Compendex and Scopus","Shanghai, China"
"141","CLOSER 2019","8th International Conference on Cloud Computing and Services Science","Heraklion, Crete, Greece"
"142","ESWC 2019","The 16th Extended Semantic Web Conference","Portorož, Slovenia"
"143","ICCGV--EI, Scopus 2019","2019 International Conference on Computer Graphics and Virtuality (ICCGV 2019)--Ei Compendex and Scopus","Jeju Island, Korea"
"144","SIMCA 2019","IFAC MIM'2019 SIMCA Open Invited Track","Berlin, Germany"
"145","ICDPA--ACM, Scopus, Ei 2019","ACM--2019 The 5th International Conference on Data Processing and Applications (ICDPA 2019)--Scopus, Ei Compendex","Shanghai, China"
"146","ICMRA--IEEE, EI and Scopus 2019","IEEE--2019 The 2nd International Conference on Mechatronics, Robotics and Automation (ICMRA 2019)--EI Compendex and Scopus","Hefei, China"
"147","RVSS 2019","Robotic Vision Summer School","Kioloa, Australia"
"148","EIS 2019","Europe IT Summit 2019: AI, VR and AR challenges and opportunities ","Bockau"
"149","ACM--ICMSR--Ei and Scopus 2019","ACM--2019 5th International Conference on Mechatronic Systems and Robots (ICMSR 2019)--Ei Compendex and Scopus","Singapore"
"150","IEEE TNNLS SI 2019","IEEE TNNLS. Special Issue on Connectionist Methods for Finance and Blockchain","N/A"
"151","DMOO 2019","IEEE CEC 2019: Special Session on “Dynamic Multi-objective Optimization and its Applications”\",WELLINGTON"," NEW ZEALAND
152,CRV 2019,Computer and Robot Vision ,Kingston"
" ON
153,IEEE--ICAIBD--Ei and Scopus 2019,IEEE--2019 The 2nd International Conference on Artificial Intelligence and Big Data (ICAIBD 2019)--Ei Compendex"," Scopus,Chengdu"," China
154,ICRIT--JA"," Scopus 2019,2019 2nd International Conference on Robotics and Intelligent Technology (ICRIT 2019)--JA"
" Scopus,Kyoto"," Japan
155,CORES 2019,11th International Conference on Computer Recognition Systems CORES 2019,Polanica Zdroj"," Poland
156,iDSC 2019,International Data Science Conference,Salzurg / Austria
157,CORES 2019,11th International Conference on Computer Recognition Systems CORES 2019,Polanica Zdroj"," Poland
158,IWCS 2019,13th International Conference on Computational Semantics (IWCS),University of Gothenburg
159,AI 2019,Artificial Intelligence,Kingston"
" ON
160,WSOM+ 2019,13th International Workshop on Self-Organizing Maps and Learning Vector Quantization"," Clustering and Data Visualization,Barcelona"," Spain
161,WCSE--Ei Compendex and Scopus 2019,2019 the 9th International Workshop on Computer Science and Engineering (WCSE 2019)--Ei Compendex and Scopus,Hong Kong
162,COMPSAC  2019,COMPSAC 2019: Data Driven Intelligence for a Smarter World,Milwaukee"," Wisconsin"
" USA
163,ICML 2019,36th International Conference on Machine Learning,Long Beach"," CA"," USA
164,ICCCV--Ei Compendex and Scopus 2019,2019 The 2nd International Conference on Control and Computer Vision (ICCCV 2019)--Ei Compendex"," Scopus,Jeju Island"
" South Korea
165,ICRAS--Ei and Scopus 2019,2019 3rd International Conference on Robotics and Automation Sciences (ICRAS 2019)--Ei Compendex and Scopus,Wuhan"," China
166,ICITS--EI"," SCOPUS 2019,2019 The 7th International Conference on Information Technology and Science (ICITS 2019)--EI Compendex"," SCOPUS,Hong Kong
167,KGSWC 2019,1st Iberoamerican Knowledge Graph and Semantic Web Conference,Villa Clara"
" Cuba
168,BDAI--Ei Compendex and Scopus 2019,2019 2nd International Conference on Big Data and Artificial Intelligence (BDAI 2019)--Ei Compendex and Scopus,Guangzhou"," China
169,ICCIA--Ei and Scopus 2019,2019 4th International Conference on Computational Intelligence and Applications (ICCIA 2019)--Ei Compendex and Scopus,Nanchang"," China
170,BDE--EI Compendex"," Scopus 2019,2019 International Conference on Big Data Engineering (BDE 2019)--EI Compendex"
" Scopus,Hong Kong
171,DSDE--Ei and Scopus 2019,2019 International Conference on Data Storage and Data Engineering (DSDE 2019)--Ei Compendex and Scopus,Jeju Island"," South KoreaJeju Island"," Sou
172,AIME 2019,17th Conference on Artificial Intelligence in Medicine,Poznan"," Poland
173,ICNMC 2019,International Conference on New Music Concepts,Treviso (Italy)
174,DCAI 2019,16th International Conference on Distributed Computing and Artificial Intelligence,Ávila (Spain)
175,DSBFI 2019,ISSAT International Conference on Data Science in Business"
" Finance and Industry,Da Nang"," Vietnam
176,JSAI 2019,The 33rd Annual Conference of the Japanese Society for Artificial Intelligence"," 2019,Niigata"," Japan
177,15th AIAI  2019,15th Artificial Intelligence Applications and Innovations conference,CRETE island Greece
178,20th EANN 2019,20th Engineering Applications of Neural Networks conference,CRETE island Greece
179,HPCCT--Ei Compendex and Scopus 2019,2019 3rd High Performance Computing and Cluster Technologies Conference (HPCCT 2019)--Ei Compendex and Scopus,Guangzhou"
" China
180,ICIMH--Scopus"," Ei Compendex 2019,2019 International Conference on Intelligent Medicine and Health (ICIMH 2019)--Scopus"," Ei Compendex,Ningbo"," China
181,EI/Scopus-ICAIR 2019,2019 4th International Conference on Artificial Intelligence and Robotics(ICAIR 2019),Shenzhen "
" China
182,IJCAI 2019,International Joint Conference on Artificial Intelligence,Macau"," China
183,EI-ISoCC 2019,2019 2nd International Symposium on Computers and Communications(ISoCC 2019),Vancouver"," Canada
184,SIUSAI 2019-Ei Compendex 2019,2019 3rd International Symposium on Intelligent Unmanned Systems and Artificial Intelligence(SIUSAI 2019),Vancouver"," Canada
185,LNLM journal - sp issue 2019,Learning & NonLinear Models journal - special issue on Evolutionary Computation,N/A
186,MDPI Information 2019,MDPI OA Journal of Information Science"
" Technology and Engineering --SI on Machine Learning for Cyber-Security ,N/A
187,EBIMCS 2019,2019 2nd International Conference on E-Business"," Information Management and Computer Science,Hong Kong
188,ETRIJ Cyber Security & AI 2019,ETRI Journal Special issue on Cyber Security and AI,N/A
189,ICDMML 2019,<U+3010>ACM ICPS EI SCOPUS<U+3011>2019 International Conference on Data Mining and Machine Learning,Hong Kong
190,ISAIR 2019,The 4th International Symposium on Artificial Intelligence and Robotics 2019,Daegu"," Korea
191,CAIP 2019,Computer Analysis of Images and Patterns,Salerno"," Italy
192,SSCI 2019,The 2019 IEEE Symposium Series on Computational Intelligence,Xiamen"
" China
193,KLP@SAC 2019,Knowledge and Language Processing Track @ The 34th ACM Symposium on Applied Computing - ACM SAC 2019,Limassol"," Cyprus
194,StoryCase 2012,ICCBR-12 Workshop on Stories"," Episodes"," and Cases (StoryCase),Lyon"
" France
195,AINY 2019,The AI Conference NY 2019,New York"," NY
196,ACM--CSAI--Ei Compendex"," Scopus 2018,ACM--2018 2nd International Conference on Computer Science and Artificial Intelligence (CSAI 2018)--Ei Compendex"," Scopus,Shenzhen"
" China
197,NSL 2018,International Workshop on Networking for Smart Living,Paris
198,AICCC--ACM"," EI Compendex"," Scopus 2018,ACM--2018 Artificial Intelligence and Cloud Computing Conference (AICCC 2018)--EI Compendex"," Scopus,Tokyo"
" Japan
199,IJCSA 2018,International Journal on Computational Science & Applications,N/A
200,SDM 2019,SIAM International Conference on Data Mining,Hyatt Regency Calgary"," Calgary"," Alberta","
201,IES 2018,IES 2018 : The 22nd Asia Pacific Symposium on Intelligent and Evolutionary Systems (IES 2018),Sapporo
202,IEEE IRC 2019,Third IEEE International Conference on Robotic Computing,Naples"
" Italy
203,Scopus-EI-WADCE  2018, 2018 3rd International Workshop on Aircraft Design and Control Engineering (WADCE 2018),Bangkok","Thailand
204,ICMCE--Ei and Scopus 2018,2018 7th International Conference on Mechatronics and Control Engineering (ICMCE 2018)--Ei Compendex and Scopus,Amsterdam"," Netherlands
205,PAKDD 2019,Pacific-Asia Conference on Knowledge Discovery and Data Mining,Macau"," China
206,MEN  2018,3rd International Conference on Mechanical Engineering,Dubai"
